Timestamp,Seconds from start,Drive ESC 1 Temp,Drive ESC 1 RPM,Drive ESC 1 Current,Drive ESC 1 Consumption,Drive ESC 1 Voltage,Drive ESC 1 Input Signal,Drive ESC 2 Temp,Drive ESC 2 RPM,Drive ESC 2 Current,Drive ESC 2 Consumption,Drive ESC 2 Voltage,Drive ESC 2 Input Signal,Weapon ESC Temp,Weapon ESC RPM,Weapon ESC Current,Weapon ESC Consumption,Weapon ESC Voltage,Weapon ESC Input Signal,Arm ESC Temp,Arm ESC RPM,Arm ESC Current,Arm ESC Consumption,Arm ESC Voltage,Arm ESC Input Signal
17_11_38_379916,13.189,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_38_396568,13.205,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_38_530181,13.339,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_38_645117,13.454,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_38_663216,13.472,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_38_784233,13.593,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_38_910648,13.719,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_38_926752,13.735,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_39_078628,13.887,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_39_154278,13.963,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,1,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_39_214978,14.024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,1,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_39_339411,14.148,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,1,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_39_414947,14.224,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_39_476306,14.285,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_39_629718,14.438,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_39_651108,14.46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,1,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_39_767594,14.576,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_39_885157,14.694,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,1,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_39_905360,14.714,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,1,0,2,25,-1,-1,-1,-1,-1,-1,-1
